Feature,Proportion
SEQN,0.0
RIAGENDR,0.0
RIDAGEYR,0.0
RIDRETH3,0.0
INDFMPIR,0.15215030408340574
DMDEDUC2,0.0
DMDMARTZ,0.0
DBQ095Z,0.15660295395308427
DBD100,0.4184404865334492
DRQSPREP,0.15660295395308427
DSDANTA,0.3897697654213727
DSD128V,0.9920721112076455
DSD128FF,0.9946785403996524
DSQTKCAL,0.7732406602953953
BMXBMI,0.09220243266724587
BPXOSY1,0.17169852302345787
BPXOSY2,0.17289313640312773
BPXOSY3,0.17484795829713293
BPXODI1,0.17169852302345787
BPXODI2,0.17289313640312773
BPXODI3,0.17484795829713293
BPXOPLS1,0.24402693310165074
BPXOPLS2,0.24511294526498698
BPXOPLS3,0.2467419635099913
LBXSBU,0.1462858384013901
LBXSCA,0.1462858384013901
LBXSUA,0.1462858384013901
URDACT,0.09893570807993049
URDFLOW1,0.20742832319721982
URDFLOW2,0.8726107732406603
URDFLOW3,0.9969591659426585
LBXGLU,0.5666811468288445
URXUPB,0.7005864465682016
BPQ020,0.0
BPQ080,0.0
BPQ050A,0.645742832319722
DIQ010,0.0
DIQ050,0.8463292788879235
DIQ070,0.7189400521285838
DIQ160,0.18201563857515204
DBD895,0.0
DBD900,0.2197002606429192
DBD905,0.00010860121633362293
DBD910,0.0005430060816681147
DBQ700,0.0
KIQ022,0.0
KIQ005,0.1369461337966985
KIQ010,0.6913553431798436
KIQ042,0.13705473501303214
KIQ044,0.13716333622936577
KIQ046,0.1372719374456994
KIQ480,0.1372719374456994
MCQ080,0.0
MCQ160M,0.0
MCQ520,0.0
MCQ550,0.0
MCQ366A,0.0
MCQ366B,0.0
MCQ366C,0.0
MCQ366D,0.0
MCQ160L,0.0
MCQ300C,0.0
PAQ605,0.0
PAQ620,0.0
PAQ635,0.0
PAQ650,0.0
PAQ665,0.0
PAD680,0.0018462206776715898
SMQ020,0.0
SMQ040,0.5832971329278888
SMD460,0.07254561251086013
SMD470,0.7086229365768897
ALQ130,0.39096437880104257
SLQ050,0.0
RXDDAYS,0.4175716768027802
RXDCOUNT,0.40019548218940054
DR1TKCAL,0.16518245004344048
DR1TPROT,0.16518245004344048
DR1TCARB,0.16518245004344048
DR1TSUGR,0.16518245004344048
DR1TFIBE,0.16518245004344048
DR1TTFAT,0.16518245004344048
DR1TSFAT,0.16518245004344048
DR1TMFAT,0.16518245004344048
DR1TPFAT,0.16518245004344048
DR1TCHOL,0.16518245004344048
DR1TATOC,0.16518245004344048
DR1TATOA,0.16518245004344048
DR1TRET,0.16518245004344048
DR1TVARA,0.16518245004344048
DR1TACAR,0.16518245004344048
DR1TBCAR,0.16518245004344048
DR1TCRYP,0.16518245004344048
DR1TLYCO,0.16518245004344048
DR1TLZ,0.16518245004344048
DR1TVB1,0.16518245004344048
DR1TVB2,0.16518245004344048
DR1TNIAC,0.16518245004344048
DR1TVB6,0.16518245004344048
DR1TFOLA,0.16518245004344048
DR1TFA,0.16518245004344048
DR1TFF,0.16518245004344048
DR1TFDFE,0.16518245004344048
DR1TCHL,0.16518245004344048
DR1TVB12,0.16518245004344048
DR1TB12A,0.16518245004344048
DR1TVC,0.16518245004344048
DR1TVD,0.16518245004344048
DR1TVK,0.16518245004344048
DR1TCALC,0.16518245004344048
DR1TPHOS,0.16518245004344048
DR1TMAGN,0.16518245004344048
DR1TIRON,0.16518245004344048
DR1TZINC,0.16518245004344048
DR1TCOPP,0.16518245004344048
DR1TSODI,0.16518245004344048
DR1TPOTA,0.16518245004344048
DR1TSELE,0.16518245004344048
DR1TCAFF,0.16518245004344048
DR1TTHEO,0.16518245004344048
DR1TALCO,0.16518245004344048
DR1TMOIS,0.16518245004344048
DR1TS040,0.16518245004344048
DR1TS060,0.16518245004344048
DR1TS080,0.16518245004344048
DR1TS100,0.16518245004344048
DR1TS120,0.16518245004344048
DR1TS140,0.16518245004344048
DR1TS160,0.16518245004344048
DR1TS180,0.16518245004344048
DR1TM161,0.16518245004344048
DR1TM181,0.16518245004344048
DR1TM201,0.16518245004344048
DR1TM221,0.16518245004344048
DR1TP182,0.16518245004344048
DR1TP183,0.16518245004344048
DR1TP184,0.16518245004344048
DR1TP204,0.16518245004344048
DR1TP205,0.16518245004344048
DR1TP225,0.16518245004344048
DR1TP226,0.16518245004344048
DR1_320Z,0.16518245004344048
DR1_330Z,0.16518245004344048
DR1BWATZ,0.16518245004344048
DR1TWSZ,0.15660295395308427
